population,price,income,employment,poverty,area
3730,607500,77867,74.6,357,480
3550,758100,64875,69.5,471,481
4008,824500,63929,69,395,482
2523,498700,63332,68.1,309,483
5410,354200,47849,61.9,1370,484
4863,387000,43683,60.8,962,485
2783,369200,51981,62.2,258,486
4371,361600,34570,56.9,1034,487
4402,423000,43473,60.2,696,488
2649,478000,51079,66.6,352,489
4195,343000,74598,60.9,437,490
4744,385500,42821,58.3,675,491
3358,406900,38636,64.4,750,492
5362,295800,41768,62.3,870,493
2881,393000,40720,64.4,473,494
2767,449500,58303,64,151,495
4295,243100,51558,70.9,659,496
2930,425400,51454,63,363,497
3278,424400,55517,59,347,498
3633,368500,73529,64.2,277,499
4937,398800,58707,66.7,573,500
4690,414300,66036,60.3,319,501
5196,399100,57648,64.9,492,502
3364,381900,46496,59.3,481,503
2211,335900,60403,63.4,233,504
2495,381000,66035,63.5,245,505
2930,356100,64913,69.8,143,506
5637,391200,59982,59.1,487,507
4858,435900,28816,54.3,991,508
5098,361400,43567,59.1,732,509
2220,472000,44470,50.1,227,510
3503,330700,52204,71.9,487,511
4712,427100,39519,64.8,674,512
3194,299100,45269,60.4,415,513
4381,369200,38600,59.1,799,514
4709,404400,46628,58.1,347,515
2881,350000,51915,72.2,430,516
3235,414600,43213,57.7,448,517
2636,420000,54095,73.3,234,518
2782,407800,35814,62.2,452,519
5158,377800,40443,56.9,998,520
2097,587600,32411,65.6,516,521
2903,385400,32040,58.6,689,522
4694,279700,51261,69.4,527,523
4441,377200,45866,58.5,553,524
4083,367200,38704,54.9,556,525
2615,454900,56142,60.3,272,526
2967,349200,46536,56.8,604,527
2591,0,48799,61.6,330,528
3629,452500,35002,60.2,702,529
3445,534300,32764,54.5,569,530
2881,0,30323,60,614,531
7363,475600,89517,3.6,17,532
3040,359100,85706,75.4,671,533
5212,0,33232,53.9,883,534
2670,332800,29815,45.3,552,535
2735,89300,33331,31.1,983,536
5222,0,11624,28.6,3542,537
2934,0,36377,43.2,728,538
2295,493800,23332,43.3,552,539
2100,346500,33272,55,450,540
4356,386500,41618,63.1,1271,541
3352,0,55060,78.8,633,542
969,480500,9611,0.1,0,543
1970,0,74059,77.5,169,544
2281,464900,52485,48,53,545
